iter	Logloss
0	0.352306951
1	0.2668908331
2	0.2325104888
3	0.2169990664
4	0.2099001127
5	0.1981730002
6	0.1906826787
7	0.1858514478
8	0.1816904021
9	0.1772094781
10	0.1741455252
11	0.1722132007
12	0.1701435211
13	0.1684047837
14	0.1668391593
15	0.1657372416
16	0.1639638417
17	0.1625375711
18	0.1615929067
19	0.1608666968
20	0.1600424446
21	0.1593800212
22	0.1589186505
23	0.157985677
24	0.1575235276
25	0.157035473
26	0.1567233033
27	0.1563489533
28	0.1558732749
29	0.1555929568
30	0.1552839896
31	0.1549755148
32	0.1547341548
33	0.1543088478
34	0.1539936849
35	0.153846513
36	0.1536745648
37	0.1534681308
38	0.1531442313
39	0.1530085398
40	0.1528406345
41	0.1527143032
42	0.1525483034
43	0.1524121901
44	0.1519903285
45	0.151823743
46	0.1516999983
47	0.1515831737
48	0.1515584234
49	0.151388809
50	0.1512933033
51	0.1512761716
52	0.15119322
53	0.1510900512
54	0.1510001632
55	0.1508926804
56	0.1508779964
57	0.1507408169
58	0.150649275
59	0.150499779
60	0.1504256508
61	0.1503431091
62	0.1503307882
63	0.1503202079
64	0.1502070575
65	0.1501496164
66	0.1500774641
67	0.1499630872
68	0.1498837339
69	0.1498277199
70	0.1497635679
71	0.1496622298
72	0.1495765724
73	0.149507563
74	0.1494982873
75	0.1493394896
76	0.1492763799
77	0.1492094006
78	0.1491671022
79	0.1491506342
80	0.1490852925
81	0.1490776718
82	0.1489910936
83	0.1489363507
84	0.1487863764
85	0.1487093928
86	0.1486570281
87	0.148595647
88	0.1485387752
89	0.1484957415
90	0.1484884071
91	0.1484082177
92	0.1483455059
93	0.1483384014
94	0.1482877936
95	0.1482812639
96	0.1482206029
97	0.1482133292
98	0.1481638222
99	0.1481003719
100	0.1480350681
101	0.1480295188
102	0.1480044237
103	0.1479478089
104	0.1479406881
105	0.147849259
106	0.1477948696
107	0.147790279
108	0.1477119571
109	0.1476643002
110	0.1475975053
111	0.1475448587
112	0.1475080467
113	0.1474677492
114	0.1474125182
115	0.1473850567
116	0.1473389735
117	0.1472975264
118	0.1472570293
119	0.1472131486
120	0.1471671933
121	0.1471066354
122	0.147071115
123	0.1470668269
124	0.1470210332
125	0.1469764975
126	0.1469419793
127	0.1469075651
128	0.1468599603
129	0.1468556473
130	0.146798757
131	0.1467518506
132	0.146747864
133	0.146671312
134	0.1466673807
135	0.1466267806
136	0.1466228992
137	0.1465636979
138	0.1465141464
139	0.1464785372
140	0.1464354905
141	0.1464007
142	0.1463971624
143	0.1463698864
144	0.1463341405
145	0.1462964056
146	0.1462930133
147	0.1462902142
148	0.1462535617
149	0.1462190738
150	0.1461884076
151	0.1461851715
152	0.1461439858
153	0.1461271675
154	0.1460761118
155	0.1460421033
156	0.146017943
157	0.1459888678
158	0.1459602481
159	0.1458943153
160	0.1458641969
161	0.1458330665
162	0.1458001891
163	0.1457966732
164	0.1457585284
165	0.145754955
166	0.145735304
167	0.145696155
168	0.1456581501
169	0.1456554714
170	0.1456094792
171	0.1455703236
172	0.1455318546
173	0.1455298114
174	0.1454940666
175	0.1454614234
176	0.1454392911
177	0.1453897494
178	0.1453535556
179	0.1453019826
180	0.1452995761
181	0.1452783656
182	0.1452760503
183	0.1452495637
184	0.1452176482
185	0.1452022127
186	0.1452000177
187	0.1451976177
188	0.1451611441
189	0.1451169131
190	0.1451146487
191	0.1450933797
192	0.1450510889
193	0.1450490988
