iter	Passed	Remaining
0	21	37630
1	45	40295
2	70	41607
3	93	41347
4	115	40526
5	138	40507
6	161	40643
7	187	41135
8	209	40844
9	231	40624
10	256	40865
11	272	39797
12	291	39365
13	315	39472
14	334	39060
15	356	39009
16	376	38698
17	397	38571
18	417	38429
19	440	38458
20	463	38503
21	485	38458
22	506	38353
23	524	38060
24	543	37864
25	565	37869
26	590	38028
27	613	38057
28	634	38014
29	657	38039
30	679	38028
31	704	38183
32	728	38261
33	751	38307
34	772	38218
35	790	38007
36	813	38015
37	835	37994
38	860	38114
39	884	38174
40	907	38181
41	928	38093
42	948	38020
43	969	37960
44	992	37958
45	1011	37838
46	1031	37716
47	1055	37791
48	1081	37886
49	1102	37826
50	1123	37796
51	1145	37773
52	1167	37745
53	1193	37848
54	1214	37782
55	1236	37744
56	1256	37687
57	1277	37617
58	1300	37618
59	1322	37595
60	1343	37559
61	1364	37494
62	1384	37438
63	1408	37447
64	1430	37435
65	1450	37351
66	1474	37394
67	1496	37360
68	1513	37225
69	1533	37158
70	1556	37158
71	1581	37205
72	1604	37215
73	1625	37173
74	1648	37177
75	1668	37112
76	1690	37084
77	1712	37054
78	1734	37046
79	1754	36965
80	1774	36907
81	1794	36862
82	1818	36872
83	1840	36849
84	1864	36878
85	1887	36865
86	1905	36781
87	1922	36664
88	1943	36626
89	1967	36642
90	1988	36606
91	2007	36521
92	2030	36526
93	2054	36535
94	2072	36445
95	2093	36414
96	2112	36351
97	2134	36328
98	2157	36328
99	2182	36364
100	2203	36324
101	2226	36328
102	2247	36280
103	2267	36236
104	2289	36211
105	2313	36223
106	2334	36191
107	2354	36151
108	2377	36146
109	2399	36123
110	2422	36124
111	2446	36134
112	2466	36077
113	2488	36059
114	2510	36038
115	2531	36002
116	2553	35984
117	2576	35989
118	2597	35949
119	2618	35910
120	2639	35879
121	2658	35819
122	2677	35761
123	2697	35719
124	2717	35676
125	2733	35584
126	2752	35518
127	2771	35471
128	2794	35462
129	2815	35432
130	2836	35406
131	2856	35364
132	2879	35348
133	2902	35349
134	2922	35309
135	2944	35287
136	2965	35256
137	2983	35198
138	3004	35164
139	3023	35116
140	3045	35102
141	3064	35052
142	3085	35020
143	3107	35001
144	3130	34996
145	3155	35008
146	3177	34994
147	3200	34987
148	3221	34962
149	3242	34928
150	3263	34906
151	3285	34887
152	3309	34887
153	3331	34872
154	3352	34840
155	3371	34791
156	3392	34769
157	3414	34753
158	3435	34717
159	3455	34682
160	3476	34659
161	3494	34598
162	3515	34573
163	3537	34552
164	3558	34532
165	3579	34498
166	3599	34469
167	3619	34425
168	3639	34390
169	3659	34354
170	3680	34331
171	3702	34310
172	3720	34255
173	3738	34207
174	3760	34183
175	3782	34174
176	3805	34159
177	3825	34125
178	3848	34118
179	3866	34071
180	3889	34059
181	3913	34060
182	3934	34034
183	3956	34021
184	3978	34003
185	4001	33987
186	4023	33971
187	4045	33960
188	4069	33952
189	4087	33903
190	4109	33883
191	4130	33864
192	4150	33825
193	4171	33800
194	4194	33789
195	4213	33748
196	4236	33740
197	4257	33717
198	4279	33698
199	4303	33692
200	4323	33666
201	4345	33646
202	4365	33614
203	4387	33593
204	4410	33584
205	4429	33541
206	4445	33484
207	4467	33461
208	4488	33440
209	4508	33407
210	4530	33390
211	4550	33352
212	4571	33329
213	4590	33293
214	4612	33274
215	4636	33268
216	4653	33220
217	4672	33181
218	4692	33150
219	4713	33121
220	4733	33090
221	4756	33079
222	4773	33031
223	4796	33019
224	4820	33015
225	4841	32988
226	4863	32970
227	4883	32942
228	4903	32914
229	4925	32893
230	4944	32853
231	4967	32842
232	4989	32827
233	5011	32807
234	5033	32794
235	5054	32770
236	5075	32746
237	5097	32725
238	5118	32703
239	5138	32672
240	5158	32640
241	5179	32620
242	5198	32579
243	5219	32559
244	5239	32530
245	5262	32518
246	5283	32495
247	5306	32479
248	5329	32468
249	5350	32443
250	5373	32432
251	5399	32437
252	5420	32415
253	5437	32369
254	5460	32355
255	5481	32334
256	5502	32310
257	5525	32295
258	5546	32274
259	5568	32252
260	5589	32229
261	5613	32223
262	5637	32216
263	5659	32196
264	5678	32164
265	5698	32137
266	5721	32120
267	5745	32116
268	5767	32098
269	5789	32075
270	5810	32055
271	5834	32047
272	5856	32027
273	5875	31996
274	5899	31985
275	5920	31961
276	5940	31930
277	5964	31924
278	5986	31906
279	6010	31896
